nombre,categoria,subcategoria,precio_neto,precio_final_iva_incl,costo,sugerencia_servicio_10,es_menu_cliente
GINGER MINT LEMONADE,BEBIDAS,BEBIDAS SIN ALCOHOL,2920.35,3300,339,SI,SI
TE FRIO CASERO,BEBIDAS,BEBIDAS SIN ALCOHOL,2920.35,3300,133,SI,SI
COCA COLA,BEBIDAS,BEBIDAS SIN ALCOHOL,1681.42,1900,375,SI,SI
COCA ZERO,BEBIDAS,BEBIDAS SIN ALCOHOL,1681.42,1900,375,SI,SI
GINGER ALE,BEBIDAS,BEBIDAS SIN ALCOHOL,1681.42,1900,375,SI,SI
BOTELLA LA POSTOLLE CABERNET SAUV,BEBIDAS,VINOS,22124.0,25000,9772,SI,SI
COPA MERLOT,BEBIDAS,VINOS,3539.86,4000,700,SI,SI
PILSEN,BEBIDAS,CERVEZAS,2477.88,2800,800,SI,SI
IMPERIAL,BEBIDAS,CERVEZAS,2477.88,2800,800,SI,SI
CORONA,BEBIDAS,CERVEZAS,3008.85,3400,833,SI,SI
CAS COOLER,BEBIDAS,BEBIDAS SIN ALCOHOL,2920.35,3300,1400,SI,SI
MOJITO,BEBIDAS,COCTELES CLASICOS,5132.74,5800,1833,SI,SI
BERNARD,BEBIDAS,COCTELES DE AUTOR,5752.21,6500,1212,SI,SI
SATORI,BEBIDAS,COCTELES DE AUTOR,5752.21,6500,1350,SI,SI
PERFUMED FIRE,BEBIDAS,COCTELES DE AUTOR,5752.21,6500,1838,SI,SI
CUCUMBER SPECIAL,BEBIDAS,COCTELES DE AUTOR,5752.21,6500,936,SI,SI
LOW TIDE,BEBIDAS,COCTELES DE AUTOR,5752.21,6500,1156,SI,SI
DAIKIRI FRESA   PIÑA,BEBIDAS,COCTELES CLASICOS,5132.74,5800,1611,SI,SI
CAIPIRINHA,BEBIDAS,COCTELES CLASICOS,5132.74,5800,960,SI,SI
GIN TONIC,BEBIDAS,COCTELES CLASICOS,5132.74,5800,1198,SI,SI
MARGARITA,BEBIDAS,COCTELES CLASICOS,5132.74,5800,1008,SI,SI
CUBA LIBRE,BEBIDAS,COCTELES CLASICOS,5132.74,5800,863,SI,SI
BANANA FLAMBEADA,POSTRES,POSTRES,4336.28,4900,0,SI,SI
CREPE,POSTRES,POSTRES,4336.28,4900,1364,SI,SI
HOSOMAKI SALMON,SUSHI ROLLS,HOSOMAKIS,4601.77,5200,749,SI,SI
HOSOMAKI ATUN,SUSHI ROLLS,HOSOMAKIS,4159.29,4700,616,SI,SI
HOSOMAKI PARGO,SUSHI ROLLS,HOSOMAKIS,4601.77,5200,829,SI,SI
HOSOMAKI AGUACATE,SUSHI ROLLS,HOSOMAKIS,3539.82,4000,505,SI,SI
SASHIMIS SALMON,SUSHI ROLLS,SASHIMIS,5132.74,5800,975,SI,SI
SASHIMIS ATUN,SUSHI ROLLS,SASHIMIS,4601.77,5200,707,SI,SI
SASHIMIS PARGO,SUSHI ROLLS,SASHIMIS,4778.76,5400,1133,SI,SI
SASHIMIS MIX,SUSHI ROLLS,SASHIMIS,8761.06,9900,2254,SI,SI
CALIFORNIA ROLL,SUSHI ROLLS,ROLLS,5929.2,6700,1209,SI,SI
IM VEGGIE ROLL,SUSHI ROLLS,ROLLS,6017.7,6800,789,SI,SI
SPICY TUNA ROLL,SUSHI ROLLS,ROLLS,6548.67,7400,1146,SI,SI
RAINBOW ROLL,SUSHI ROLLS,ROLLS,7699.12,8700,1537,SI,SI
SATORI ROLL,SUSHI ROLLS,ROLLS,7876.11,8900,1758,SI,SI
IM VEGAN,SUSHI ROLLS,ROLLS,6460.18,7300,654,SI,SI
I LOVE SANTA ROLL,SUSHI ROLLS,ROLLS,6902.65,7800,1530,SI,SI
ON HOLYDAYS ROLL,SUSHI ROLLS,ROLLS,7876.11,8900,1428,SI,SI
UNAGUI ROLL,SUSHI ROLLS,ROLLS,6194.69,7000,3048,SI,SI
ALASKA ROLL,SUSHI ROLLS,ROLLS,8141.59,9200,1606,SI,SI
EDDIE WOULD GO ROLL,SUSHI ROLLS,ROLLS,8407.08,9500,4057,SI,SI
THE SNAPPER ROLL,SUSHI ROLLS,ROLLS,7433.63,8400,1910,SI,SI
PHILLY,SUSHI ROLLS,ROLLS,4247.79,4800,1186,SI,SI
NIGIRI ABURI  DORADO  x 6,SUSHI ROLLS,NIGIRIS,10000.0,11300,2100,SI,SI
NIGIRI YAKI  ATUN  x 6,SUSHI ROLLS,NIGIRIS,9734.51,11000,1450,SI,SI
EDAMAMES,TAPAS ASIATICAS,TAPAS ASIATICAS,4247.79,4800,1278,SI,SI
SOPA MISO,TAPAS ASIATICAS,TAPAS ASIATICAS,3451.33,3900,458,SI,SI
CAMARONES TEMPURA,TAPAS ASIATICAS,TEMPURAS,6106.19,6900,2347,SI,SI
CALAMARES TEMPURA,TAPAS ASIATICAS,TEMPURAS,5486.73,6200,1165,SI,SI
TUNA TATAKI,TAPAS ASIATICAS,PESCA LOCAL,6460.18,7300,1194,SI,SI
CRISPY TUNA BITES,TAPAS ASIATICAS,TAPAS ASIATICAS,5221.24,5900,1248,SI,SI
CARPACCIO DE ATUN,TAPAS ASIATICAS,PESCA LOCAL,6371.68,7200,1378,SI,SI
TARTAR DE ATUN,TAPAS ASIATICAS,PESCA LOCAL,6106.19,6900,1248,SI,SI
VEGETALES TEMPURA,TAPAS ASIATICAS,TEMPURAS,4778.76,5400,1354,SI,SI
KOROKKES DE PESCADO,TAPAS ASIATICAS,TAPAS ASIATICAS,5132.74,5800,979,SI,SI
YAKI WINGS,TAPAS ASIATICAS,TAPAS ASIATICAS,5752.21,6500,1350,SI,SI
JOSE CUERVO,BEBIDAS,SHOTS,3274.34,3700,433,SI,SI
CAIPIROSKA,BEBIDAS,COCTELES CLASICOS,5132.74,5800,960,SI,SI
VODKA SODA,BEBIDAS,COCTELES CLASICOS,4867.26,5500,830,SI,SI
BERRY BLOSSOM,BEBIDAS,BEBIDAS SIN ALCOHOL,2920.35,3300,450,SI,SI
ORDEN DE ARROZ,TAPAS ASIATICAS,TAPAS ASIATICAS,2654.87,3000,277,SI,SI
SNAPPER XX,PERSONAL,COMIDA PERSONAL,0.0,0,1200,SI,NO
TUNA ROLL,SUSHI ROLLS,ROLLS,4159.29,4700,842,SI,SI
GYOZAS DE CERDO,TAPAS ASIATICAS,TAPAS ASIATICAS,4601.77,5200,1039,SI,SI
EXTRA 1,TAPAS ASIATICAS,TAPAS ASIATICAS,1327.43,1500,500,SI,SI
BOCHA DE HELADO,POSTRES,POSTRES,1769.91,2000,0,SI,SI
KOROKKE BENTO,GREENSEASON,BENTO BOX,1747.79,1975,1248,SI,SI
CAMARON EMPANIZADO,TAPAS ASIATICAS,TEMPURAS,6106.19,6900,2347,SI,SI
PANACOTA,POSTRES,POSTRES,4601.77,5200,850,SI,SI
SPICY EDAMAME,TAPAS ASIATICAS,TAPAS ASIATICAS,4247.79,4800,1278,SI,SI
SMALL,REMERAS,CIRCULO,10619.47,12000,4300,NO,NO
MEDIUM,REMERAS,CIRCULO,10619.47,12000,4300,NO,NO
LARGE,REMERAS,CIRCULO,10619.47,12000,4300,NO,NO
GOLDEN GLOW,BEBIDAS,BEBIDAS SIN ALCOHOL,2920.35,3300,450,SI,SI
25 USS CARD,GIFT CARDS,CARDS,11061.95,12500,5000,NO,NO
50 USS CARD,GIFT CARDS,CARDS,22123.89,25000,5000,NO,NO
S EMPLEADO,REMERAS,CIRCULO,0.0,0,4300,NO,NO
M EMPLEADO,REMERAS,MIYAGUI,0.0,0,4300,NO,NO
DEDOS DE POLLO,KIDS MENU,MENU,5486.73,6200,2200,SI,SI
